Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
8.69571852684021,-17,-79,-15,-49,0,18,-34,4,7,29,-14,27,9,sil
24.120296478271484,29,18,33,-11,-6,-19,24,16,31,20,38,40,56,sil
3.2112720012664795,27,26,14,5,1,0,1,-1,-4,3,19,1,34,sil
17.884929180145264,-32,-26,-21,2,4,30,30,19,27,-8,-17,6,-18,sil
24.39385938644409,9,2,15,6,9,-3,-3,-3,-2,-4,6,8,5,sil
22.210635662078857,27,1,4,-1,-9,6,-9,20,18,31,20,30,26,sil
24.42687702178955,61,17,70,17,-10,-31,-46,-8,20,53,23,51,44,sil
1.0361552238464355,20,12,-4,-4,-7,-24,-5,-15,4,-15,-2,-5,-16,sil
29.910797357559204,-19,-56,2,-72,-16,-101,-7,18,11,-11,-7,7,0,sil
6.114074945449829,-42,-73,-39,-42,9,-75,-1,11,-16,-24,-43,-38,-21,sil
2.0462656021118164,4,9,-4,-12,-18,-9,24,28,0,1,1,-8,-2,sil
